id,original,human,partition,source
98,CORRECT,CORRECT,Dev,not_in_report
176,Mixed,INCORRECT,Dev,HUMAN()
299,CORRECT,CORRECT,Dev,not_in_report
316,CORRECT,CORRECT,Dev,not_in_report
354,CORRECT,CORRECT,Dev,not_in_report
378,CORRECT,CORRECT,Dev,not_in_report
817,INCORRECT,INCORRECT,Dev,HUMAN()
847,Mixed,PARTIALLY_CORRECT,Dev,HUMAN()
943,INCORRECT,INCORRECT,Dev,HUMAN()
989,INCORRECT,INCORRECT,Dev,HUMAN()
39,CORRECT,CORRECT,Test,not_in_report
71,Mixed,PARTIALLY_CORRECT,Test,HUMAN()
124,CORRECT,CORRECT,Test,not_in_report
216,CORRECT,CORRECT,Test,not_in_report
300,CORRECT,CORRECT,Test,not_in_report
388,INCORRECT,INCORRECT,Test,HUMAN()
559,Mixed,INCORRECT,Test,HUMAN()
659,CORRECT,CORRECT,Test,not_in_report
708,INCORRECT,INCORRECT,Test,HUMAN()
728,INCORRECT,INCORRECT,Test,HUMAN()
737,INCORRECT,INCORRECT,Test,HUMAN()
833,Mixed,PARTIALLY_CORRECT,Test,HUMAN()
856,INCORRECT,INCORRECT,Test,HUMAN()
879,INCORRECT,INCORRECT,Test,HUMAN()
887,CORRECT,CORRECT,Test,not_in_report
917,Mixed,PARTIALLY_CORRECT,Test,HUMAN()
939,CORRECT,CORRECT,Test,not_in_report
1230,INCORRECT,INCORRECT,Test,HUMAN()
1236,Mixed,INCORRECT,Test,HUMAN()
1241,Mixed,INCORRECT,Test,HUMAN()
1296,INCORRECT,INCORRECT,Test,HUMAN()
1319,Mixed,PARTIALLY_CORRECT,Test,HUMAN()
1466,Mixed,PARTIALLY_CORRECT,Test,HUMAN()
1469,INCORRECT,INCORRECT,Test,HUMAN()
1480,CORRECT,CORRECT,Test,not_in_report
1551,INCORRECT,INCORRECT,Test,HUMAN()
1617,Mixed,INCORRECT,Test,HUMAN()
1667,CORRECT,CORRECT,Test,not_in_report
1700,CORRECT,CORRECT,Test,not_in_report
1721,CORRECT,CORRECT,Test,not_in_report
1759,CORRECT,CORRECT,Test,not_in_report
1891,CORRECT,CORRECT,Test,not_in_report
1994,INCORRECT,INCORRECT,Test,HUMAN()
2033,CORRECT,CORRECT,Test,not_in_report
247,CORRECT,PARTIALLY_CORRECT,Train1,HUMAN()
282,CORRECT,CORRECT,Train1,not_in_report
285,CORRECT,CORRECT,Train1,not_in_report
486,Mixed,CORRECT,Train1,HUMAN()
595,Mixed,CORRECT,Train1,note
859,INCORRECT,INCORRECT,Train1,HUMAN()
870,INCORRECT,INCORRECT,Train1,HUMAN()
966,CORRECT,CORRECT,Train1,not_in_report
1001,CORRECT,CORRECT,Train1,not_in_report
1184,Mixed,CORRECT,Train1,HUMAN()
1223,INCORRECT,INCORRECT,Train1,HUMAN()
1266,Mixed,CORRECT,Train1,HUMAN()
1492,Mixed,INCORRECT,Train1,HUMAN()
1507,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
1695,INCORRECT,INCORRECT,Train1,HUMAN()
1935,CORRECT,CORRECT,Train1,not_in_report
1957,CORRECT,CORRECT,Train1,not_in_report
1965,CORRECT,CORRECT,Train1,majority_fallback
2283,CORRECT,CORRECT,Train1,not_in_report
2357,INCORRECT,INCORRECT,Train1,HUMAN()
2379,INCORRECT,INCORRECT,Train1,HUMAN()
2453,Mixed,CORRECT,Train1,not_in_report
2517,INCORRECT,INCORRECT,Train1,HUMAN()
2732,INCORRECT,INCORRECT,Train1,HUMAN()
2857,INCORRECT,INCORRECT,Train1,majority_fallback
2976,CORRECT,CORRECT,Train1,not_in_report
3024,INCORRECT,INCORRECT,Train1,HUMAN()
3214,Mixed,INCORRECT,Train1,HUMAN()
3292,INCORRECT,INCORRECT,Train1,HUMAN()
3486,CORRECT,CORRECT,Train1,HUMAN()
3487,Mixed,INCORRECT,Train1,HUMAN()
3491,CORRECT,CORRECT,Train1,not_in_report
3527,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
3589,INCORRECT,INCORRECT,Train1,HUMAN()
3638,INCORRECT,INCORRECT,Train1,HUMAN()
3642,INCORRECT,INCORRECT,Train1,HUMAN()
3663,INCORRECT,INCORRECT,Train1,HUMAN()
3684,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
3694,INCORRECT,INCORRECT,Train1,HUMAN()
3743,CORRECT,CORRECT,Train1,not_in_report
3803,Mixed,CORRECT,Train1,HUMAN()
3851,INCORRECT,INCORRECT,Train1,HUMAN()
3900,INCORRECT,INCORRECT,Train1,HUMAN()
4088,CORRECT,CORRECT,Train1,not_in_report
4099,CORRECT,CORRECT,Train1,not_in_report
4213,Mixed,CORRECT,Train1,HUMAN()
4220,CORRECT,CORRECT,Train1,not_in_report
4264,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
4456,INCORRECT,INCORRECT,Train1,majority_fallback
4546,INCORRECT,INCORRECT,Train1,HUMAN()
4723,CORRECT,CORRECT,Train1,not_in_report
4735,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
4849,CORRECT,CORRECT,Train1,not_in_report
4875,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
5168,CORRECT,CORRECT,Train1,HUMAN()
5253,INCORRECT,INCORRECT,Train1,HUMAN()
5290,Mixed,PARTIALLY_CORRECT,Train1,HUMAN()
5380,Mixed,CORRECT,Train1,note
5440,INCORRECT,INCORRECT,Train1,HUMAN()
5455,CORRECT,CORRECT,Train1,not_in_report
5504,CORRECT,CORRECT,Train2,not_in_report
5535,INCORRECT,INCORRECT,Train2,HUMAN()
5539,Mixed,CORRECT,Train2,note
5590,INCORRECT,INCORRECT,Train2,HUMAN()
5680,CORRECT,CORRECT,Train2,note
5740,INCORRECT,INCORRECT,Train2,HUMAN()
5813,INCORRECT,INCORRECT,Train2,HUMAN()
5827,Mixed,INCORRECT,Train2,HUMAN()
5936,CORRECT,CORRECT,Train2,not_in_report
5983,CORRECT,CORRECT,Train2,not_in_report
5991,CORRECT,CORRECT,Train2,not_in_report
5998,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6018,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6060,INCORRECT,INCORRECT,Train2,HUMAN()
6086,INCORRECT,INCORRECT,Train2,HUMAN()
6100,INCORRECT,INCORRECT,Train2,HUMAN()
6205,CORRECT,CORRECT,Train2,not_in_report
6237,Mixed,CORRECT,Train2,HUMAN()
6275,CORRECT,CORRECT,Train2,not_in_report
6342,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6488,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
6607,INCORRECT,INCORRECT,Train2,HUMAN()
6731,CORRECT,CORRECT,Train2,not_in_report
6768,CORRECT,CORRECT,Train2,not_in_report
6855,Mixed,CORRECT,Train2,HUMAN()
6861,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
7133,Mixed,UNANSWERABLE,Train2,HUMAN()
7135,Mixed,UNANSWERABLE,Train2,HUMAN()
7498,INCORRECT,INCORRECT,Train2,bare_verdict
7533,INCORRECT,INCORRECT,Train2,HUMAN()
7556,INCORRECT,INCORRECT,Train2,HUMAN()
7588,Mixed,INCORRECT,Train2,HUMAN()
7614,CORRECT,PARTIALLY_CORRECT,Train2,HUMAN_noparen
7748,Mixed,PARTIALLY_CORRECT,Train2,HUMAN()
7850,Mixed,CORRECT,Train2,not_in_report
8070,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8074,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8082,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8128,CORRECT,CORRECT,Train2,not_in_report
8376,INCORRECT,INCORRECT,Train2,HUMAN_noparen
8391,INCORRECT,INCORRECT,Train2,HUMAN_noparen
8454,Mixed,UNANSWERABLE,Train2,HUMAN()
8471,Mixed,PARTIALLY_CORRECT,Train2,HUMAN_noparen
8625,Mixed,CORRECT,Train2,HUMAN()
8633,Mixed,CORRECT,Train2,HUMAN_noparen
8651,INCORRECT,INCORRECT,Train2,HUMAN()
